country	total population	 availablemanpower	 fitforservice	 reachingmilitaryage	 total military power 	 active personel	 reservepersonel	 paramilitary	 TOTAL AIRFORCE 	 fighters	 dedicated attack	 transports	 trainers 	 special mission 	 tanker fleet 	 helicopters 	 attack helicopters	 tanks 	 armored vehicles 	 selfpropeled artilery	 tower artilery 	 rocketprojectors 	 TOTALNAVAL 	 aircraft carriers 	 helicopter carrier	 destroyer 	 frigates	 corvetes 	 submarines 	 patrol 	 minewarfare	 oil production 	 oil consumption 	 proven oil reserves	 labor force	 mechanr marine	 ports and terminals 	 roadwaycoverage 	 railway coverage 	 servicable airports 	 defense budget 	 external debt 	 res of foureign exchange/gold 	 purchasing power parity	 square land area 	 coastline coverage 	 shared borders 	 usable waterways
albania	3074579	1506775	1280562	61467	10500 	10000	0	500	19	0	0	0	0	0	0	19	0	0	470	0	0	0	38	0	0	0	0	0	0	26	0	14000 	42500 	168300000 	1104000	68	4	18000 	339 	3	200000000 	9505000000 	3590000000 	38000000000 	28748 	362  	691 	41 	
austria	8859449	3986752	3588077	93290	182500 	22500	160000	0	120	15	0	11	32	0	0	62	0	56	465	62	0	0	0	0	0	0	0	0	0	0	0	13000 	215000 	41200000 	3739000	0	4	110778 	6399 	50	3300000000 	630800000000 	21570000000 	447000000000 	83871 	0  	2524 	0 	
belarus	9477918	5023297	3717239	100365	445500 	45500	290000	110000	207	43	68	4	29	0	0	63	21	601	1550	482	228	238	0	0	0	0	0	0	0	0	0	30000 	190000 	198000000 	4381000	4	1	86392 	5537 	65	775000000 	39920000000 	7315000000 	178066000000 	207600 	0  	3599 	2500 	
belgium	11720716	4805494	3796340	113890	35000 	30000	5000	0	117	43	0	11	40	0	0	23	0	0	855	0	0	0	17	0	0	0	2	0	0	2	5	0 	645000 	0 	4122000	201	8	153595 	3233 	41	5000000000 	1281000000000 	26160000000 	535000000000 	30528 	67  	1297 	2043 	
bosnia-and-herzegovina	3835586	2378063	1973793	51319	10500 	10500	0	0	19	0	0	0	0	0	0	19	0	320	400	57	679	143	0	0	0	0	0	0	0	0	0	0 	32500 	0 	806000	0	5	22926 	601 	24	220000000 	10870000000 	6474000000 	45000000000 	51197 	20  	1543 	0 	
bulgaria	6966899	3274443	2685043	64441	33000 	30000	3000	0	67	13	4	7	21	0	0	22	2	210	2000	506	350	192	29	0	0	0	4	3	0	0	12	1000 	115000 	15000000 	3113000	83	2	19512 	4152 	68	2000000000 	42060000000 	28380000000 	158000000000 	110880 	354  	1806 	470 	
canada	37694085	16208457	13128850	433252	112500 	72000	35000	5500	377	62	0	37	135	24	6	113	0	82	1535	0	163	0	64	0	0	0	12	0	4	12	0	4265000 	2500000 	170500000000 	18136000	669	13	1042300 	46552 	1467	23400000000 	1608000000000 	86680000000 	1812000000000 	9984670 	202080  	8893 	636 	
croatia	4227746	2071596	1595129	54234	38500 	15500	20000	3000	75	12	0	0	26	0	0	37	0	72	650	24	219	105	28	0	0	0	0	0	0	11	1	14000 	82000 	71000000 	1656000	336	6	29343 	2722 	69	880000000 	48100000000 	18820000000 	105000000000 	56594 	5835  	2237 	785 	
czech-republic	10702498	5030174	4074441	97787	25000 	25000	0	0	90	12	16	8	10	0	0	44	15	116	440	48	0	0	0	0	0	0	0	0	0	0	0	2000 	200000 	15000000 	5222000	0	3	130671 	9469 	128	3000000000 	205200000000 	148000000000 	387000000000 	78867 	0  	2046 	664 	
denmark	5869410	2582540	2091858	77399	61500 	16000	45500	0	113	33	0	4	38	3	0	35	0	44	900	15	0	0	74	0	0	0	9	0	0	16	6	115000 	162000 	439000000 	2736000	682	8	73197 	2667 	80	5000000000 	484800000000 	75250000000 	292000000000 	43094 	7314  	140 	400 	
