Data	Nowe przypadki	Zgony	Ozdrowieñcy (dzienna)	Aktywne przypadki	Hospitalizacje	Kwarantanna	Nadzór	Zajête ³ó¿ka 
03.03.2020	0	0	0	0	68	316	4459	
04.03.2020	1	0	0	0	65	349	4540	
05.03.2020	0	0	0	0	92	490	5647	
06.03.2020	4	0	0	0	128	1299	6184	
07.03.2020	1	0	0	0	146	1548	6409	
08.03.2020	5	0	0	0	168	932	7122	
09.03.2020	6	0	0	0	467	1014	7110	
10.03.2020	5	0	0	0	220	1055	9366	
11.03.2020	9	0	0	0	317	1193	11524	
12.03.2020	20	1	0	0	384	2736	14841	
13.03.2020	17	1	0	0	521	3151	17784	
14.03.2020	35	1	0	0	526	4413	20340	
15.03.2020	21	0	0	0	768	7535	25816	
16.03.2020	52	1	0	0	734	10050	30129	
17.03.2020	61	1	0	0	833	14531	35853	
18.03.2020	48	0	0	0	923	21993	40110	
19.03.2020	68	0	0	0	871	28440	48660	
20.03.2020	70	0	0	0	898	47115	53117	
21.03.2020	111	0	0	0	1047	54814	56623	
22.03.2020	99	2	0	0	1084	48632	58826	
23.03.2020	115	1	0	0	1138	55301	51142	
24.03.2020	152	2	0	0	1479	62511	53426	
25.03.2020	151	3	0	0	1615	70528	56930	
26.03.2020	170	3	0	0	1606	83908	59081	
27.03.2020	168	0	0	0	1696	94297	58306	
28.03.2020	249	2	0	0	1719	97413	56585	
29.03.2020	224	4	0	0	1879	100215	52612	
30.03.2020	193	9	0	0	1900	106525	52370	
31.03.2020	256	2	0	0	1924	171994	50804	
01.04.2020	243	10	0	0	2317	183095	48039	
02.04.2020	392	14	0	0	2158	174997	44491	
03.04.2020	437	14	116	3196	2303	160587	41146	
04.04.2020	244	8	18	3414	2434	131888	39157	
05.04.2020	475	15	28	3846	2444	143256	37295	
06.04.2020	311	9	29	4119	2476	148130	36 391	
07.04.2020	435	26	31	4497	2425	153390	33 273	
08.04.2020	356	29	62	4762	2473	152898	33 989	
09.04.2020	370	16	34	5082	2409	158663	33 879	
10.04.2020	380	7	57	5398	2426	166973	31 370	
11.04.2020	401	27	64	5708	2481	162974	30 982	
12.04.2020	318	23	48	5955	2510	151548	29 571	
13.04.2020	260	13	131	6071	2471	144875	28 665	
14.04.2020	269	18	50	6272	2499	145875	28 084	
15.04.2020	380	22	106	6524	2607	142220	25 923	
16.04.2020	336	28	92	6740	2673	138004	25 773	
17.04.2020	461	18	115	7068	2725	118361	25 273	
18.04.2020	363	15	59	7357	2482	124311	17 436	
19.04.2020	545	13	93	7796	2511	111079	17 266	
20.04.2020	306	20	164	7918	2914	105602	21 364	
21.04.2020	263	20	216	7945	3505	98020	22 731	
22.04.2020	313	25	227	8006	3099	103129	21 781	
